name;offset;size;description;bitfield
module.xq.xq_43.core_id;3388;2;;0
module.xq.xq_43.status;3390;1;;0
module.xq.xq_44;3392;64;;0
module.xq.xq_44.address;3392;52;;0
module.xq.xq_44.req_type;3444;8;;0
module.xq.xq_44.core_id;3452;2;;0
module.xq.xq_44.status;3454;1;;0
module.xq.xq_45;3456;64;;0
module.xq.xq_45.address;3456;52;;0
module.xq.xq_45.req_type;3508;8;;0
module.xq.xq_45.core_id;3516;2;;0
module.xq.xq_45.status;3518;1;;0
module.xq.xq_46;3520;64;;0
module.xq.xq_46.address;3520;52;;0
module.xq.xq_46.req_type;3572;8;;0
module.xq.xq_46.core_id;3580;2;;0
module.xq.xq_46.status;3582;1;;0
module.xq.xq_47;3584;64;;0
module.xq.xq_47.address;3584;52;;0
module.xq.xq_47.req_type;3636;8;;0
module.xq.xq_47.core_id;3644;2;;0
module.xq.xq_47.status;3646;1;;0
module.xq.xq_48;3648;64;;0
module.xq.xq_48.address;3648;52;;0
module.xq.xq_48.req_type;3700;8;;0
module.xq.xq_48.core_id;3708;2;;0
module.xq.xq_48.status;3710;1;;0
module.xq.xq_49;3712;64;;0
module.xq.xq_49.address;3712;52;;0
module.xq.xq_49.req_type;3764;8;;0
module.xq.xq_49.core_id;3772;2;;0
module.xq.xq_49.status;3774;1;;0
module.xq.xq_50;3776;64;;0
module.xq.xq_50.address;3776;52;;0
module.xq.xq_50.req_type;3828;8;;0
module.xq.xq_50.core_id;3836;2;;0
module.xq.xq_50.status;3838;1;;0
module.xq.xq_51;3840;64;;0
module.xq.xq_51.address;3840;52;;0
module.xq.xq_51.req_type;3892;8;;0
module.xq.xq_51.core_id;3900;2;;0
module.xq.xq_51.status;3902;1;;0
module.xq.xq_52;3904;64;;0
module.xq.xq_52.address;3904;52;;0
module.xq.xq_52.req_type;3956;8;;0
module.xq.xq_52.core_id;3964;2;;0
module.xq.xq_52.status;3966;1;;0
module.xq.xq_53;3968;64;;0
module.xq.xq_53.address;3968;52;;0
module.xq.xq_53.req_type;4020;8;;0
module.xq.xq_53.core_id;4028;2;;0
module.xq.xq_53.status;4030;1;;0
module.xq.xq_54;4032;64;;0
module.xq.xq_54.address;4032;52;;0
module.xq.xq_54.req_type;4084;8;;0
module.xq.xq_54.core_id;4092;2;;0
module.xq.xq_54.status;4094;1;;0
module.xq.xq_55;4096;64;;0
module.xq.xq_55.address;4096;52;;0
module.xq.xq_55.req_type;4148;8;;0
module.xq.xq_55.core_id;4156;2;;0
module.xq.xq_55.status;4158;1;;0
module.xq.xq_56;4160;64;;0
module.xq.xq_56.address;4160;52;;0
module.xq.xq_56.req_type;4212;8;;0
module.xq.xq_56.core_id;4220;2;;0
module.xq.xq_56.status;4222;1;;0
module.xq.xq_57;4224;64;;0
module.xq.xq_57.address;4224;52;;0
module.xq.xq_57.req_type;4276;8;;0
module.xq.xq_57.core_id;4284;2;;0
module.xq.xq_57.status;4286;1;;0
module.xq.xq_58;4288;64;;0
module.xq.xq_58.address;4288;52;;0
module.xq.xq_58.req_type;4340;8;;0
module.xq.xq_58.core_id;4348;2;;0
module.xq.xq_58.status;4350;1;;0
module.xq.xq_59;4352;64;;0
module.xq.xq_59.address;4352;52;;0
module.xq.xq_59.req_type;4404;8;;0
module.xq.xq_59.core_id;4412;2;;0
module.xq.xq_59.status;4414;1;;0
module.xq.xq_60;4416;64;;0
module.xq.xq_60.address;4416;52;;0
module.xq.xq_60.req_type;4468;8;;0
module.xq.xq_60.core_id;4476;2;;0
module.xq.xq_60.status;4478;1;;0
module.xq.xq_61;4480;64;;0
module.xq.xq_61.address;4480;52;;0
module.xq.xq_61.req_type;4532;8;;0
module.xq.xq_61.core_id;4540;2;;0
module.xq.xq_61.status;4542;1;;0
module.xq.xq_62;4544;64;;0
module.xq.xq_62.address;4544;52;;0
module.xq.xq_62.req_type;4596;8;;0
module.xq.xq_62.core_id;4604;2;;0
module.xq.xq_62.status;4606;1;;0
module.xq.xq_63;4608;64;;0
module.xq.xq_63.address;4608;52;;0
module.xq.xq_63.req_type;4660;8;;0
module.xq.xq_63.core_id;4668;2;;0
module.xq.xq_63.status;4670;1;;0
module.xq.xq_64;4672;64;;0
module.xq.xq_64.address;4672;52;;0
module.xq.xq_64.req_type;4724;8;;0
module.xq.xq_64.core_id;4732;2;;0
module.xq.xq_64.status;4734;1;;0
module.xq.xq_65;4736;64;;0
module.xq.xq_65.address;4736;52;;0
module.xq.xq_65.req_type;4788;8;;0
module.xq.xq_65.core_id;4796;2;;0
module.xq.xq_65.status;4798;1;;0
module.xq.xq_66;4800;64;;0
module.xq.xq_66.address;4800;52;;0
module.xq.xq_66.req_type;4852;8;;0
module.xq.xq_66.core_id;4860;2;;0
module.xq.xq_66.status;4862;1;;0
module.xq.xq_67;4864;64;;0
module.xq.xq_67.address;4864;52;;0
module.xq.xq_67.req_type;4916;8;;0
module.xq.xq_67.core_id;4924;2;;0
module.xq.xq_67.status;4926;1;;0
module.xq.xq_68;4928;64;;0
module.xq.xq_68.address;4928;52;;0
module.xq.xq_68.req_type;4980;8;;0
module.xq.xq_68.core_id;4988;2;;0
module.xq.xq_68.status;4990;1;;0
module.xq.xq_69;4992;64;;0
module.xq.xq_69.address;4992;52;;0
module.xq.xq_69.req_type;5044;8;;0
module.xq.xq_69.core_id;5052;2;;0
module.xq.xq_69.status;5054;1;;0
module.xq.xq_70;5056;64;;0
module.xq.xq_70.address;5056;52;;0
module.xq.xq_70.req_type;5108;8;;0
module.xq.xq_70.core_id;5116;2;;0
module.xq.xq_70.status;5118;1;;0
module.xq.xq_71;5120;64;;0
module.xq.xq_71.address;5120;52;;0
