name;offset;size;description;bitfield
sq.entry35.req_type;2247;7;;1
sq.entry35.addr;2254;36;;1
sq.entry36;2304;64;;0
sq.entry36.valid;2304;1;;1
sq.entry36.fsm_state;2305;6;;1
sq.entry36.req_type;2311;7;;1
sq.entry36.addr;2318;36;;1
sq.entry37;2368;64;;0
sq.entry37.valid;2368;1;;1
sq.entry37.fsm_state;2369;6;;1
sq.entry37.req_type;2375;7;;1
sq.entry37.addr;2382;36;;1
sq.entry38;2432;64;;0
sq.entry38.valid;2432;1;;1
sq.entry38.fsm_state;2433;6;;1
sq.entry38.req_type;2439;7;;1
sq.entry38.addr;2446;36;;1
sq.entry39;2496;64;;0
sq.entry39.valid;2496;1;;1
sq.entry39.fsm_state;2497;6;;1
sq.entry39.req_type;2503;7;;1
sq.entry39.addr;2510;36;;1
sq.entry40;2560;64;;0
sq.entry40.valid;2560;1;;1
sq.entry40.fsm_state;2561;6;;1
sq.entry40.req_type;2567;7;;1
sq.entry40.addr;2574;36;;1
sq.entry41;2624;64;;0
sq.entry41.valid;2624;1;;1
sq.entry41.fsm_state;2625;6;;1
sq.entry41.req_type;2631;7;;1
sq.entry41.addr;2638;36;;1
sq.entry42;2688;64;;0
sq.entry42.valid;2688;1;;1
sq.entry42.fsm_state;2689;6;;1
sq.entry42.req_type;2695;7;;1
sq.entry42.addr;2702;36;;1
sq.entry43;2752;64;;0
sq.entry43.valid;2752;1;;1
sq.entry43.fsm_state;2753;6;;1
sq.entry43.req_type;2759;7;;1
sq.entry43.addr;2766;36;;1
sq.entry44;2816;64;;0
sq.entry44.valid;2816;1;;1
sq.entry44.fsm_state;2817;6;;1
sq.entry44.req_type;2823;7;;1
sq.entry44.addr;2830;36;;1
sq.entry45;2880;64;;0
sq.entry45.valid;2880;1;;1
sq.entry45.fsm_state;2881;6;;1
sq.entry45.req_type;2887;7;;1
sq.entry45.addr;2894;36;;1
sq.entry46;2944;64;;0
sq.entry46.valid;2944;1;;1
sq.entry46.fsm_state;2945;6;;1
sq.entry46.req_type;2951;7;;1
sq.entry46.addr;2958;36;;1
sq.entry47;3008;64;;0
sq.entry47.valid;3008;1;;1
sq.entry47.fsm_state;3009;6;;1
sq.entry47.req_type;3015;7;;1
sq.entry47.addr;3022;36;;1
sq.entry48;3072;64;;0
sq.entry48.valid;3072;1;;1
sq.entry48.fsm_state;3073;6;;1
sq.entry48.req_type;3079;7;;1
sq.entry48.addr;3086;36;;1
sq.entry49;3136;64;;0
sq.entry49.valid;3136;1;;1
sq.entry49.fsm_state;3137;6;;1
sq.entry49.req_type;3143;7;;1
sq.entry49.addr;3150;36;;1
sq.entry50;3200;64;;0
sq.entry50.valid;3200;1;;1
sq.entry50.fsm_state;3201;6;;1
sq.entry50.req_type;3207;7;;1
sq.entry50.addr;3214;36;;1
sq.entry51;3264;64;;0
sq.entry51.valid;3264;1;;1
sq.entry51.fsm_state;3265;6;;1
sq.entry51.req_type;3271;7;;1
sq.entry51.addr;3278;36;;1
sq.entry52;3328;64;;0
sq.entry52.valid;3328;1;;1
sq.entry52.fsm_state;3329;6;;1
sq.entry52.req_type;3335;7;;1
sq.entry52.addr;3342;36;;1
sq.entry53;3392;64;;0
sq.entry53.valid;3392;1;;1
sq.entry53.fsm_state;3393;6;;1
sq.entry53.req_type;3399;7;;1
sq.entry53.addr;3406;36;;1
sq.entry54;3456;64;;0
sq.entry54.valid;3456;1;;1
sq.entry54.fsm_state;3457;6;;1
sq.entry54.req_type;3463;7;;1
sq.entry54.addr;3470;36;;1
sq.entry55;3520;64;;0
sq.entry55.valid;3520;1;;1
sq.entry55.fsm_state;3521;6;;1
sq.entry55.req_type;3527;7;;1
sq.entry55.addr;3534;36;;1
sq.entry56;3584;64;;0
sq.entry56.valid;3584;1;;1
sq.entry56.fsm_state;3585;6;;1
sq.entry56.req_type;3591;7;;1
sq.entry56.addr;3598;36;;1
sq.entry57;3648;64;;0
sq.entry57.valid;3648;1;;1
sq.entry57.fsm_state;3649;6;;1
sq.entry57.req_type;3655;7;;1
sq.entry57.addr;3662;36;;1
sq.entry58;3712;64;;0
sq.entry58.valid;3712;1;;1
sq.entry58.fsm_state;3713;6;;1
sq.entry58.req_type;3719;7;;1
sq.entry58.addr;3726;36;;1
sq.entry59;3776;64;;0
sq.entry59.valid;3776;1;;1
sq.entry59.fsm_state;3777;6;;1
sq.entry59.req_type;3783;7;;1
sq.entry59.addr;3790;36;;1
sq.entry60;3840;64;;0
sq.entry60.valid;3840;1;;1
sq.entry60.fsm_state;3841;6;;1
sq.entry60.req_type;3847;7;;1
sq.entry60.addr;3854;36;;1
sq.entry61;3904;64;;0
sq.entry61.valid;3904;1;;1
sq.entry61.fsm_state;3905;6;;1
sq.entry61.req_type;3911;7;;1
sq.entry61.addr;3918;36;;1
sq.entry62;3968;64;;0
sq.entry62.valid;3968;1;;1
sq.entry62.fsm_state;3969;6;;1
sq.entry62.req_type;3975;7;;1
sq.entry62.addr;3982;36;;1
sq.entry63;4032;64;;0
sq.entry63.valid;4032;1;;1
sq.entry63.fsm_state;4033;6;;1
sq.entry63.req_type;4039;7;;1
sq.entry63.addr;4046;36;;1
